Committee,Subcommittee,Full_Name,State
Committee on Banking. Housing. and Urban Affairs,Subcommittee on National Security and  International Trade and Finance,Kevin Cramer,ND
Committee on Banking. Housing. and Urban Affairs,Subcommittee on National Security and  International Trade and Finance,Bernie Moreno,OH
Committee on Banking. Housing. and Urban Affairs,Subcommittee on National Security and  International Trade and Finance,David McCormick,PA
Committee on Banking. Housing. and Urban Affairs,Subcommittee on National Security and  International Trade and Finance,Tim Scott,SC
Committee on Banking. Housing. and Urban Affairs,Subcommittee on National Security and  International Trade and Finance,Ex Officio,N/A
Committee on Banking. Housing. and Urban Affairs,Subcommittee on National Security and  International Trade and Finance,Tina Smith,MN
Committee on Banking. Housing. and Urban Affairs,Subcommittee on National Security and  International Trade and Finance,Ranking Member,N/A
Committee on Banking. Housing. and Urban Affairs,Subcommittee on National Security and  International Trade and Finance,Chris Van Hollen,MD
Committee on Banking. Housing. and Urban Affairs,Subcommittee on National Security and  International Trade and Finance,Ruben Gallego,AZ
Committee on Banking. Housing. and Urban Affairs,Subcommittee on National Security and  International Trade and Finance,Lisa Blunt Rochester,DE
Committee on Banking. Housing. and Urban Affairs,Subcommittee on National Security and  International Trade and Finance,Angela D. Alsobrooks,MD
Committee on Banking. Housing. and Urban Affairs,Subcommittee on National Security and  International Trade and Finance,Elizabeth Warren,MA
Committee on Banking. Housing. and Urban Affairs,Subcommittee on Securities. Insurance. and Investment,Bill Hagerty,TN
Committee on Banking. Housing. and Urban Affairs,Subcommittee on Securities. Insurance. and Investment,Chairman,N/A
Committee on Banking. Housing. and Urban Affairs,Subcommittee on Securities. Insurance. and Investment,Pete Ricketts,NE
Committee on Banking. Housing. and Urban Affairs,Subcommittee on Securities. Insurance. and Investment,Jim Banks,IN
Committee on Banking. Housing. and Urban Affairs,Subcommittee on Securities. Insurance. and Investment,David McCormick,PA
Committee on Banking. Housing. and Urban Affairs,Subcommittee on Securities. Insurance. and Investment,Tim Scott,SC
Committee on Banking. Housing. and Urban Affairs,Subcommittee on Securities. Insurance. and Investment,Ex Officio,N/A
Committee on Banking. Housing. and Urban Affairs,Subcommittee on Securities. Insurance. and Investment,Andy Kim,NJ
Committee on Banking. Housing. and Urban Affairs,Subcommittee on Securities. Insurance. and Investment,Ranking Member,N/A
Committee on Banking. Housing. and Urban Affairs,Subcommittee on Securities. Insurance. and Investment,Chris Van Hollen,MD
Committee on Banking. Housing. and Urban Affairs,Subcommittee on Securities. Insurance. and Investment,Catherine Cortez Masto,NV
Committee on Banking. Housing. and Urban Affairs,Subcommittee on Securities. Insurance. and Investment,Elizabeth Warren,MA
Committee on Commerce. Science. and Transportation,Subcommittee on Aviation. Space. and Innovation,Ted Cruz,TX
Committee on Commerce. Science. and Transportation,Subcommittee on Aviation. Space. and Innovation,Chairman,N/A
Committee on Commerce. Science. and Transportation,Subcommittee on Aviation. Space. and Innovation,John Thune,SD
Committee on Commerce. Science. and Transportation,Subcommittee on Aviation. Space. and Innovation,Roger F. Wicker,MS
Committee on Commerce. Science. and Transportation,Subcommittee on Aviation. Space. and Innovation,Deb Fischer,NE
Committee on Commerce. Science. and Transportation,Subcommittee on Aviation. Space. and Innovation,Jerry Moran,KS
Committee on Commerce. Science. and Transportation,Subcommittee on Aviation. Space. and Innovation,Dan Sullivan,AK
Committee on Commerce. Science. and Transportation,Subcommittee on Aviation. Space. and Innovation,Marsha Blackburn,TN
Committee on Commerce. Science. and Transportation,Subcommittee on Aviation. Space. and Innovation,Todd Young,IN
Committee on Commerce. Science. and Transportation,Subcommittee on Aviation. Space. and Innovation,Ted Budd,NC
Committee on Commerce. Science. and Transportation,Subcommittee on Aviation. Space. and Innovation,Eric Schmitt,MO
Committee on Commerce. Science. and Transportation,Subcommittee on Aviation. Space. and Innovation,John  R. Curtis,UT
Committee on Commerce. Science. and Transportation,Subcommittee on Aviation. Space. and Innovation,Bernie Moreno,OH
Committee on Commerce. Science. and Transportation,Subcommittee on Aviation. Space. and Innovation,Tim Sheehy,MT
Committee on Commerce. Science. and Transportation,Subcommittee on Aviation. Space. and Innovation,Shelley Moore Capito,WV
Committee on Commerce. Science. and Transportation,Subcommittee on Aviation. Space. and Innovation,Cynthia M. Lummis,WY
Committee on Commerce. Science. and Transportation,Subcommittee on Aviation. Space. and Innovation,Maria Cantwell,WA
Committee on Commerce. Science. and Transportation,Subcommittee on Aviation. Space. and Innovation,Ranking Member,N/A
Committee on Commerce. Science. and Transportation,Subcommittee on Aviation. Space. and Innovation,Amy Klobuchar,MN
Committee on Commerce. Science. and Transportation,Subcommittee on Aviation. Space. and Innovation,Brian Schatz,HI
Committee on Commerce. Science. and Transportation,Subcommittee on Aviation. Space. and Innovation,Edward J. Markey,MA
Committee on Commerce. Science. and Transportation,Subcommittee on Aviation. Space. and Innovation,Gary C. Peters,MI
Committee on Commerce. Science. and Transportation,Subcommittee on Aviation. Space. and Innovation,Tammy Baldwin,WI
Committee on Commerce. Science. and Transportation,Subcommittee on Aviation. Space. and Innovation,Tammy Duckworth,IL
Committee on Commerce. Science. and Transportation,Subcommittee on Aviation. Space. and Innovation,Jacky Rosen,NV
Committee on Commerce. Science. and Transportation,Subcommittee on Aviation. Space. and Innovation,Ben Ray Lujan,NM
Committee on Commerce. Science. and Transportation,Subcommittee on Aviation. Space. and Innovation,John W. Hickenlooper,CO
Committee on Commerce. Science. and Transportation,Subcommittee on Aviation. Space. and Innovation,John Fetterman,PA
Committee on Commerce. Science. and Transportation,Subcommittee on Aviation. Space. and Innovation,Andy Kim,NJ
Committee on Commerce. Science. and Transportation,Subcommittee on Aviation. Space. and Innovation,Lisa Blunt Rochester,DE
Committee on Commerce. Science. and Transportation,Subcommittee on Coast Guard. Maritime. and Fisheries,Jerry Moran,KS
Committee on Commerce. Science. and Transportation,Subcommittee on Coast Guard. Maritime. and Fisheries,Chairman,N/A
Committee on Commerce. Science. and Transportation,Subcommittee on Coast Guard. Maritime. and Fisheries,John Thune,SD
Committee on Commerce. Science. and Transportation,Subcommittee on Coast Guard. Maritime. and Fisheries,Ted Budd,NC
Committee on Commerce. Science. and Transportation,Subcommittee on Coast Guard. Maritime. and Fisheries,Eric Schmitt,MO
Committee on Commerce. Science. and Transportation,Subcommittee on Coast Guard. Maritime. and Fisheries,Tim Sheehy,MT
Committee on Commerce. Science. and Transportation,Subcommittee on Coast Guard. Maritime. and Fisheries,Shelley Moore Capito,WV
Committee on Commerce. Science. and Transportation,Subcommittee on Coast Guard. Maritime. and Fisheries,Ted Cruz,TX
Committee on Commerce. Science. and Transportation,Subcommittee on Coast Guard. Maritime. and Fisheries,Ex Officio,N/A
Committee on Commerce. Science. and Transportation,Subcommittee on Coast Guard. Maritime. and Fisheries,Tammy Duckworth,IL
Committee on Commerce. Science. and Transportation,Subcommittee on Coast Guard. Maritime. and Fisheries,Ranking Member,N/A
Committee on Commerce. Science. and Transportation,Subcommittee on Coast Guard. Maritime. and Fisheries,Jacky Rosen,NV
Committee on Commerce. Science. and Transportation,Subcommittee on Coast Guard. Maritime. and Fisheries,John W. Hickenlooper,CO
Committee on Commerce. Science. and Transportation,Subcommittee on Coast Guard. Maritime. and Fisheries,John Fetterman,PA
Committee on Commerce. Science. and Transportation,Subcommittee on Coast Guard. Maritime. and Fisheries,Andy Kim,NJ
Committee on Commerce. Science. and Transportation,Subcommittee on Coast Guard. Maritime. and Fisheries,Maria Cantwell,WA
Committee on Commerce. Science. and Transportation,Subcommittee on Consumer Protection. Technology. and Data Privacy,Dan Sullivan,AK
Committee on Commerce. Science. and Transportation,Subcommittee on Consumer Protection. Technology. and Data Privacy,Chairman,N/A
Committee on Commerce. Science. and Transportation,Subcommittee on Consumer Protection. Technology. and Data Privacy,Roger F. Wicker,MS
Committee on Commerce. Science. and Transportation,Subcommittee on Consumer Protection. Technology. and Data Privacy,John  R. Curtis,UT
Committee on Commerce. Science. and Transportation,Subcommittee on Consumer Protection. Technology. and Data Privacy,Bernie Moreno,OH
Committee on Commerce. Science. and Transportation,Subcommittee on Consumer Protection. Technology. and Data Privacy,Tim Sheehy,MT
Committee on Commerce. Science. and Transportation,Subcommittee on Consumer Protection. Technology. and Data Privacy,Ted Cruz,TX
Committee on Commerce. Science. and Transportation,Subcommittee on Consumer Protection. Technology. and Data Privacy,Ex Officio,N/A
Committee on Commerce. Science. and Transportation,Subcommittee on Consumer Protection. Technology. and Data Privacy,Lisa Blunt Rochester,DE
Committee on Commerce. Science. and Transportation,Subcommittee on Consumer Protection. Technology. and Data Privacy,Ranking Member,N/A
Committee on Commerce. Science. and Transportation,Subcommittee on Consumer Protection. Technology. and Data Privacy,Brian Schatz,HI
Committee on Commerce. Science. and Transportation,Subcommittee on Consumer Protection. Technology. and Data Privacy,Gary C. Peters,MI
Committee on Commerce. Science. and Transportation,Subcommittee on Consumer Protection. Technology. and Data Privacy,Tammy Baldwin,WI
Committee on Commerce. Science. and Transportation,Subcommittee on Consumer Protection. Technology. and Data Privacy,Maria Cantwell,WA
Committee on Commerce. Science. and Transportation,Subcommittee on Science. Manufacturing. and Competitiveness,Marsha Blackburn,TN
Committee on Commerce. Science. and Transportation,Subcommittee on Science. Manufacturing. and Competitiveness,Chairman,N/A
Committee on Commerce. Science. and Transportation,Subcommittee on Science. Manufacturing. and Competitiveness,John Thune,SD
Committee on Commerce. Science. and Transportation,Subcommittee on Science. Manufacturing. and Competitiveness,Deb Fischer,NE
Committee on Commerce. Science. and Transportation,Subcommittee on Science. Manufacturing. and Competitiveness,Jerry Moran,KS
Committee on Commerce. Science. and Transportation,Subcommittee on Science. Manufacturing. and Competitiveness,Todd Young,IN
Committee on Commerce. Science. and Transportation,Subcommittee on Science. Manufacturing. and Competitiveness,John  R. Curtis,UT
Committee on Commerce. Science. and Transportation,Subcommittee on Science. Manufacturing. and Competitiveness,Shelley Moore Capito,WV
Committee on Commerce. Science. and Transportation,Subcommittee on Science. Manufacturing. and Competitiveness,Cynthia M. Lummis,WY
Committee on Commerce. Science. and Transportation,Subcommittee on Science. Manufacturing. and Competitiveness,Ted Cruz,TX
Committee on Commerce. Science. and Transportation,Subcommittee on Science. Manufacturing. and Competitiveness,Ex Officio,N/A
Committee on Commerce. Science. and Transportation,Subcommittee on Science. Manufacturing. and Competitiveness,John W. Hickenlooper,CO
Committee on Commerce. Science. and Transportation,Subcommittee on Science. Manufacturing. and Competitiveness,Ranking Member,N/A
Committee on Commerce. Science. and Transportation,Subcommittee on Science. Manufacturing. and Competitiveness,Amy Klobuchar,MN
Committee on Commerce. Science. and Transportation,Subcommittee on Science. Manufacturing. and Competitiveness,Brian Schatz,HI
Committee on Commerce. Science. and Transportation,Subcommittee on Science. Manufacturing. and Competitiveness,Edward J. Markey,MA
Committee on Commerce. Science. and Transportation,Subcommittee on Science. Manufacturing. and Competitiveness,Tammy Baldwin,WI
Committee on Commerce. Science. and Transportation,Subcommittee on Science. Manufacturing. and Competitiveness,Ben Ray Lujan,NM
Committee on Commerce. Science. and Transportation,Subcommittee on Science. Manufacturing. and Competitiveness,Lisa Blunt Rochester,DE
Committee on Commerce. Science. and Transportation,Subcommittee on Science. Manufacturing. and Competitiveness,Maria Cantwell,WA
Committee on Commerce. Science. and Transportation,Subcommittee on Surface Transportation. Freight. Pipelines. and Safety,Ted Budd,NC
Committee on Commerce. Science. and Transportation,Subcommittee on Surface Transportation. Freight. Pipelines. and Safety,Chairman,N/A
Committee on Commerce. Science. and Transportation,Subcommittee on Surface Transportation. Freight. Pipelines. and Safety,Marsha Blackburn,TN
Committee on Commerce. Science. and Transportation,Subcommittee on Surface Transportation. Freight. Pipelines. and Safety,Todd Young,IN
Committee on Commerce. Science. and Transportation,Subcommittee on Surface Transportation. Freight. Pipelines. and Safety,Eric Schmitt,MO
Committee on Commerce. Science. and Transportation,Subcommittee on Surface Transportation. Freight. Pipelines. and Safety,Bernie Moreno,OH
Committee on Commerce. Science. and Transportation,Subcommittee on Surface Transportation. Freight. Pipelines. and Safety,Cynthia M. Lummis,WY
Committee on Commerce. Science. and Transportation,Subcommittee on Surface Transportation. Freight. Pipelines. and Safety,Ted Cruz,TX
Committee on Commerce. Science. and Transportation,Subcommittee on Surface Transportation. Freight. Pipelines. and Safety,Ex Officio,N/A
Committee on Commerce. Science. and Transportation,Subcommittee on Surface Transportation. Freight. Pipelines. and Safety,Tammy Baldwin,WI
Committee on Commerce. Science. and Transportation,Subcommittee on Surface Transportation. Freight. Pipelines. and Safety,Ranking Member,N/A
Committee on Commerce. Science. and Transportation,Subcommittee on Surface Transportation. Freight. Pipelines. and Safety,Gary C. Peters,MI
Committee on Commerce. Science. and Transportation,Subcommittee on Surface Transportation. Freight. Pipelines. and Safety,Jacky Rosen,NV
Committee on Commerce. Science. and Transportation,Subcommittee on Surface Transportation. Freight. Pipelines. and Safety,John W. Hickenlooper,CO
Committee on Commerce. Science. and Transportation,Subcommittee on Surface Transportation. Freight. Pipelines. and Safety,Lisa Blunt Rochester,DE
Committee on Commerce. Science. and Transportation,Subcommittee on Surface Transportation. Freight. Pipelines. and Safety,Maria Cantwell,WA
Committee on Commerce. Science. and Transportation,Subcommittee on Telecommunications and Media,Todd Young,IN
Committee on Commerce. Science. and Transportation,Subcommittee on Telecommunications and Media,Chairman,N/A
Committee on Commerce. Science. and Transportation,Subcommittee on Telecommunications and Media,John Thune,SD
Committee on Commerce. Science. and Transportation,Subcommittee on Telecommunications and Media,Roger F. Wicker,MS
Committee on Commerce. Science. and Transportation,Subcommittee on Telecommunications and Media,Deb Fischer,NE
Committee on Commerce. Science. and Transportation,Subcommittee on Telecommunications and Media,Dan Sullivan,AK
Committee on Commerce. Science. and Transportation,Subcommittee on Telecommunications and Media,Eric Schmitt,MO
Committee on Commerce. Science. and Transportation,Subcommittee on Telecommunications and Media,Bernie Moreno,OH
Committee on Commerce. Science. and Transportation,Subcommittee on Telecommunications and Media,Shelley Moore Capito,WV
Committee on Commerce. Science. and Transportation,Subcommittee on Telecommunications and Media,Ted Cruz,TX
Committee on Commerce. Science. and Transportation,Subcommittee on Telecommunications and Media,Ex Officio,N/A
Committee on Commerce. Science. and Transportation,Subcommittee on Telecommunications and Media,Gary C. Peters,MI
Committee on Commerce. Science. and Transportation,Subcommittee on Telecommunications and Media,Ranking Member,N/A
Committee on Commerce. Science. and Transportation,Subcommittee on Telecommunications and Media,Amy Klobuchar,MN
Committee on Commerce. Science. and Transportation,Subcommittee on Telecommunications and Media,Brian Schatz,HI
Committee on Commerce. Science. and Transportation,Subcommittee on Telecommunications and Media,Edward J. Markey,MA
Committee on Commerce. Science. and Transportation,Subcommittee on Telecommunications and Media,Tammy Duckworth,IL
Committee on Commerce. Science. and Transportation,Subcommittee on Telecommunications and Media,Ben Ray Lujan,NM
Committee on Commerce. Science. and Transportation,Subcommittee on Telecommunications and Media,Andy Kim,NJ
Committee on Commerce. Science. and Transportation,Subcommittee on Telecommunications and Media,Maria Cantwell,WA
Committee on Energy and Natural Resources,Subcommittee on Energy,Mike Lee,UT
Committee on Energy and Natural Resources,Subcommittee on Energy,Chairman,N/A
Committee on Energy and Natural Resources,Subcommittee on Energy,John Barrasso,WY
Committee on Energy and Natural Resources,Subcommittee on Energy,James  E. Risch,ID
Committee on Energy and Natural Resources,Subcommittee on Energy,Steve Daines,MT
Committee on Energy and Natural Resources,Subcommittee on Energy,Tom Cotton,AR
Committee on Energy and Natural Resources,Subcommittee on Energy,David McCormick,PA
Committee on Energy and Natural Resources,Subcommittee on Energy,James C. Justice,WV
Committee on Energy and Natural Resources,Subcommittee on Energy,Bill Cassidy,LA
Committee on Energy and Natural Resources,Subcommittee on Energy,Cindy Hyde-Smith,MS
Committee on Energy and Natural Resources,Subcommittee on Energy,Lisa Murkowski,AK
Committee on Energy and Natural Resources,Subcommittee on Energy,John Hoeven,ND
Committee on Energy and Natural Resources,Subcommittee on Energy,Martin Heinrich,NM
Committee on Energy and Natural Resources,Subcommittee on Energy,Ranking Member,N/A
Committee on Energy and Natural Resources,Subcommittee on Energy,Ron Wyden,OR
Committee on Energy and Natural Resources,Subcommittee on Energy,Maria Cantwell,WA
Committee on Energy and Natural Resources,Subcommittee on Energy,Mazie K. Hirono,HI
Committee on Energy and Natural Resources,Subcommittee on Energy,Angus S. King,ME
Committee on Energy and Natural Resources,Subcommittee on Energy,Catherine Cortez Masto,NV
Committee on Energy and Natural Resources,Subcommittee on Energy,John W. Hickenlooper,CO
Committee on Energy and Natural Resources,Subcommittee on Energy,Alex Padilla,CA
Committee on Energy and Natural Resources,Subcommittee on Energy,Ruben Gallego,AZ
Committee on Energy and Natural Resources,Subcommittee on National Parks,David McCormick,PA
Committee on Energy and Natural Resources,Subcommittee on National Parks,Chairman,N/A
Committee on Energy and Natural Resources,Subcommittee on National Parks,John Barrasso,WY
Committee on Energy and Natural Resources,Subcommittee on National Parks,James  E. Risch,ID
Committee on Energy and Natural Resources,Subcommittee on National Parks,Tom Cotton,AR
Committee on Energy and Natural Resources,Subcommittee on National Parks,James C. Justice,WV
Committee on Energy and Natural Resources,Subcommittee on National Parks,Bill Cassidy,LA
Committee on Energy and Natural Resources,Subcommittee on National Parks,Cindy Hyde-Smith,MS
Committee on Energy and Natural Resources,Subcommittee on National Parks,John Hoeven,ND
Committee on Energy and Natural Resources,Subcommittee on National Parks,Mike Lee,UT
Committee on Energy and Natural Resources,Subcommittee on National Parks,Ex Officio,N/A
Committee on Energy and Natural Resources,Subcommittee on National Parks,Ruben Gallego,AZ
Committee on Energy and Natural Resources,Subcommittee on National Parks,Ranking Member,N/A
Committee on Energy and Natural Resources,Subcommittee on National Parks,Ron Wyden,OR
Committee on Energy and Natural Resources,Subcommittee on National Parks,Mazie K. Hirono,HI
Committee on Energy and Natural Resources,Subcommittee on National Parks,Angus S. King,ME
Committee on Energy and Natural Resources,Subcommittee on National Parks,Catherine Cortez Masto,NV
Committee on Energy and Natural Resources,Subcommittee on National Parks,John W. Hickenlooper,CO
Committee on Energy and Natural Resources,Subcommittee on National Parks,Alex Padilla,CA
Committee on Energy and Natural Resources,Subcommittee on National Parks,Martin Heinrich,NM
Committee on Energy and Natural Resources,Subcommittee on Public Lands. Forests. and Mining,Steve Daines,MT
Committee on Energy and Natural Resources,Subcommittee on Public Lands. Forests. and Mining,Chairman,N/A
Committee on Energy and Natural Resources,Subcommittee on Public Lands. Forests. and Mining,John Barrasso,WY
Committee on Energy and Natural Resources,Subcommittee on Public Lands. Forests. and Mining,Bill Cassidy,LA
Committee on Energy and Natural Resources,Subcommittee on Public Lands. Forests. and Mining,Lisa Murkowski,AK
Committee on Energy and Natural Resources,Subcommittee on Public Lands. Forests. and Mining,Mike Lee,UT
Committee on Energy and Natural Resources,Subcommittee on Public Lands. Forests. and Mining,Ex Officio,N/A
Committee on Energy and Natural Resources,Subcommittee on Public Lands. Forests. and Mining,Angus S. King,ME
Committee on Energy and Natural Resources,Subcommittee on Public Lands. Forests. and Mining,Ranking Member,N/A
Committee on Energy and Natural Resources,Subcommittee on Public Lands. Forests. and Mining,Mazie K. Hirono,HI
Committee on Energy and Natural Resources,Subcommittee on Public Lands. Forests. and Mining,Ruben Gallego,AZ
Committee on Energy and Natural Resources,Subcommittee on Public Lands. Forests. and Mining,Martin Heinrich,NM
Committee on Energy and Natural Resources,Subcommittee on Water and Power,John Barrasso,WY
Committee on Energy and Natural Resources,Subcommittee on Water and Power,Chairman,N/A
Committee on Energy and Natural Resources,Subcommittee on Water and Power,James  E. Risch,ID
Committee on Energy and Natural Resources,Subcommittee on Water and Power,Steve Daines,MT
Committee on Energy and Natural Resources,Subcommittee on Water and Power,Tom Cotton,AR
Committee on Energy and Natural Resources,Subcommittee on Water and Power,James C. Justice,WV
Committee on Energy and Natural Resources,Subcommittee on Water and Power,Cindy Hyde-Smith,MS
Committee on Energy and Natural Resources,Subcommittee on Water and Power,Lisa Murkowski,AK
Committee on Energy and Natural Resources,Subcommittee on Water and Power,Mike Lee,UT
Committee on Energy and Natural Resources,Subcommittee on Water and Power,Ex Officio,N/A
Committee on Energy and Natural Resources,Subcommittee on Water and Power,Catherine Cortez Masto,NV
Committee on Energy and Natural Resources,Subcommittee on Water and Power,Ranking Member,N/A
Committee on Energy and Natural Resources,Subcommittee on Water and Power,Ron Wyden,OR
Committee on Energy and Natural Resources,Subcommittee on Water and Power,Mazie K. Hirono,HI
Committee on Energy and Natural Resources,Subcommittee on Water and Power,Angus S. King,ME
Committee on Energy and Natural Resources,Subcommittee on Water and Power,John W. Hickenlooper,CO
Committee on Energy and Natural Resources,Subcommittee on Water and Power,Alex Padilla,CA
Committee on Energy and Natural Resources,Subcommittee on Water and Power,Martin Heinrich,NM
Committee on Environment and Public Works,Subcommittee on Chemical Safety. Waste Management. Environmental Justice. and Regulatory Oversight,Shelley Moore Capito,WV
Committee on Environment and Public Works,Subcommittee on Chemical Safety. Waste Management. Environmental Justice. and Regulatory Oversight,Chairman,N/A
Committee on Environment and Public Works,Subcommittee on Chemical Safety. Waste Management. Environmental Justice. and Regulatory Oversight,Kevin Cramer,ND
Committee on Environment and Public Works,Subcommittee on Chemical Safety. Waste Management. Environmental Justice. and Regulatory Oversight,Cynthia M. Lummis,WY
Committee on Environment and Public Works,Subcommittee on Chemical Safety. Waste Management. Environmental Justice. and Regulatory Oversight,John  R. Curtis,UT
Committee on Environment and Public Works,Subcommittee on Chemical Safety. Waste Management. Environmental Justice. and Regulatory Oversight,Lindsey Graham,SC
Committee on Environment and Public Works,Subcommittee on Chemical Safety. Waste Management. Environmental Justice. and Regulatory Oversight,Dan Sullivan,AK
Committee on Environment and Public Works,Subcommittee on Chemical Safety. Waste Management. Environmental Justice. and Regulatory Oversight,Pete Ricketts,NE
Committee on Environment and Public Works,Subcommittee on Chemical Safety. Waste Management. Environmental Justice. and Regulatory Oversight,Roger F. Wicker,MS
Committee on Environment and Public Works,Subcommittee on Chemical Safety. Waste Management. Environmental Justice. and Regulatory Oversight,John Boozman,AR
Committee on Environment and Public Works,Subcommittee on Chemical Safety. Waste Management. Environmental Justice. and Regulatory Oversight,Jon Husted,OH
Committee on Environment and Public Works,Subcommittee on Chemical Safety. Waste Management. Environmental Justice. and Regulatory Oversight,Sheldon Whitehouse,RI
Committee on Environment and Public Works,Subcommittee on Chemical Safety. Waste Management. Environmental Justice. and Regulatory Oversight,Ranking Member,N/A
Committee on Environment and Public Works,Subcommittee on Chemical Safety. Waste Management. Environmental Justice. and Regulatory Oversight,Bernard Sanders,VT
Committee on Environment and Public Works,Subcommittee on Chemical Safety. Waste Management. Environmental Justice. and Regulatory Oversight,Jeff Merkley,OR
Committee on Environment and Public Works,Subcommittee on Chemical Safety. Waste Management. Environmental Justice. and Regulatory Oversight,Edward J. Markey,MA
Committee on Environment and Public Works,Subcommittee on Chemical Safety. Waste Management. Environmental Justice. and Regulatory Oversight,Mark Kelly,AZ
Committee on Environment and Public Works,Subcommittee on Chemical Safety. Waste Management. Environmental Justice. and Regulatory Oversight,Alex Padilla,CA
Committee on Environment and Public Works,Subcommittee on Chemical Safety. Waste Management. Environmental Justice. and Regulatory Oversight,Adam B. Schiff,CA
Committee on Environment and Public Works,Subcommittee on Chemical Safety. Waste Management. Environmental Justice. and Regulatory Oversight,Lisa Blunt Rochester,DE
Committee on Environment and Public Works,Subcommittee on Chemical Safety. Waste Management. Environmental Justice. and Regulatory Oversight,Angela D. Alsobrooks,MD
Committee on Environment and Public Works,Subcommittee on Clean Air. Climate. and Nuclear Innovation and Safety,John  R. Curtis,UT
Committee on Environment and Public Works,Subcommittee on Clean Air. Climate. and Nuclear Innovation and Safety,Chairman,N/A
Committee on Environment and Public Works,Subcommittee on Clean Air. Climate. and Nuclear Innovation and Safety,Lindsey Graham,SC
Committee on Environment and Public Works,Subcommittee on Clean Air. Climate. and Nuclear Innovation and Safety,Dan Sullivan,AK
Committee on Environment and Public Works,Subcommittee on Clean Air. Climate. and Nuclear Innovation and Safety,Roger F. Wicker,MS
Committee on Environment and Public Works,Subcommittee on Clean Air. Climate. and Nuclear Innovation and Safety,Jon Husted,OH
Committee on Environment and Public Works,Subcommittee on Clean Air. Climate. and Nuclear Innovation and Safety,Shelley Moore Capito,WV
Committee on Environment and Public Works,Subcommittee on Clean Air. Climate. and Nuclear Innovation and Safety,Ex Officio,N/A
Committee on Environment and Public Works,Subcommittee on Clean Air. Climate. and Nuclear Innovation and Safety,Jeff Merkley,OR
Committee on Environment and Public Works,Subcommittee on Clean Air. Climate. and Nuclear Innovation and Safety,Ranking Member,N/A
Committee on Environment and Public Works,Subcommittee on Clean Air. Climate. and Nuclear Innovation and Safety,Bernard Sanders,VT
Committee on Environment and Public Works,Subcommittee on Clean Air. Climate. and Nuclear Innovation and Safety,Edward J. Markey,MA
Committee on Environment and Public Works,Subcommittee on Clean Air. Climate. and Nuclear Innovation and Safety,Lisa Blunt Rochester,DE
Committee on Environment and Public Works,Subcommittee on Clean Air. Climate. and Nuclear Innovation and Safety,Sheldon Whitehouse,RI
Committee on Environment and Public Works,Subcommittee on Fisheries. Wildlife. and Water,Cynthia M. Lummis,WY
Committee on Environment and Public Works,Subcommittee on Fisheries. Wildlife. and Water,Chairman,N/A
Committee on Environment and Public Works,Subcommittee on Fisheries. Wildlife. and Water,Kevin Cramer,ND
Committee on Environment and Public Works,Subcommittee on Fisheries. Wildlife. and Water,John  R. Curtis,UT
Committee on Environment and Public Works,Subcommittee on Fisheries. Wildlife. and Water,Lindsey Graham,SC
Committee on Environment and Public Works,Subcommittee on Fisheries. Wildlife. and Water,Pete Ricketts,NE
Committee on Environment and Public Works,Subcommittee on Fisheries. Wildlife. and Water,Roger F. Wicker,MS
Committee on Environment and Public Works,Subcommittee on Fisheries. Wildlife. and Water,John Boozman,AR
Committee on Environment and Public Works,Subcommittee on Fisheries. Wildlife. and Water,Jon Husted,OH
Committee on Environment and Public Works,Subcommittee on Fisheries. Wildlife. and Water,Shelley Moore Capito,WV
Committee on Environment and Public Works,Subcommittee on Fisheries. Wildlife. and Water,Ex Officio,N/A
Committee on Environment and Public Works,Subcommittee on Fisheries. Wildlife. and Water,Mark Kelly,AZ
Committee on Environment and Public Works,Subcommittee on Fisheries. Wildlife. and Water,Ranking Member,N/A
Committee on Environment and Public Works,Subcommittee on Fisheries. Wildlife. and Water,Bernard Sanders,VT
Committee on Environment and Public Works,Subcommittee on Fisheries. Wildlife. and Water,Jeff Merkley,OR
Committee on Environment and Public Works,Subcommittee on Fisheries. Wildlife. and Water,Edward J. Markey,MA
Committee on Environment and Public Works,Subcommittee on Fisheries. Wildlife. and Water,Alex Padilla,CA
Committee on Environment and Public Works,Subcommittee on Fisheries. Wildlife. and Water,Adam B. Schiff,CA
Committee on Environment and Public Works,Subcommittee on Fisheries. Wildlife. and Water,Lisa Blunt Rochester,DE
Committee on Environment and Public Works,Subcommittee on Fisheries. Wildlife. and Water,Sheldon Whitehouse,RI
Committee on Environment and Public Works,Subcommittee on Transportation and Infrastructure,Pete Ricketts,NE
Committee on Environment and Public Works,Subcommittee on Transportation and Infrastructure,Chairman,N/A
Committee on Environment and Public Works,Subcommittee on Transportation and Infrastructure,Kevin Cramer,ND
Committee on Environment and Public Works,Subcommittee on Transportation and Infrastructure,Cynthia M. Lummis,WY
Committee on Environment and Public Works,Subcommittee on Transportation and Infrastructure,Dan Sullivan,AK
Committee on Environment and Public Works,Subcommittee on Transportation and Infrastructure,John Boozman,AR
Committee on Environment and Public Works,Subcommittee on Transportation and Infrastructure,Jon Husted,OH
Committee on Environment and Public Works,Subcommittee on Transportation and Infrastructure,Shelley Moore Capito,WV
Committee on Environment and Public Works,Subcommittee on Transportation and Infrastructure,Ex Officio,N/A
Committee on Environment and Public Works,Subcommittee on Transportation and Infrastructure,Adam B. Schiff,CA
